c1|{N I_I L A M} {N A_E} {S A_A L G I R A_A} {P A R} {H A_Y D} {S A_Y S M O_O G I R A_A F} {A S V A D_D} {Q U R A_Y S_H I_I} {K A_E} {M A_A T_D_H A_E} {P A R} {A_Y N T_H A N} {O R} {G_G A M} {K I_I} {A_A T_D I S_H I_I_N} {R O} {M E H S U_U S} {K I_I}|{N I_I L A M} {N A_E} {S A_A L G I R A_A} {P A R} {H A_Y D} {S A_Y S M O_O G I R A_A F} {A S V A D_D} {Q U R A_Y S_H I_I} {K A_E} {M A_A T_D_H A_E} {P A R} {A_Y N T_H A N} {O R} {G_G A M} {K I_I} {A_A T_D I S_H I_I_N} {R O} {M E H S U_U S} {K I_I}
c2|{H A_A D_Z I_I} {M U D_Z A_A H I D_D} {B I L G I R A_A M I_I} {M A X Z A N} {O R} {G_G A Z V A_A} {K A_E} {A_E K} {A R A B} {Q A_A R A I_I N} {M A_E_N} {I N T_D I H A_A I_I} {S A_A D_D I Q} {O R} {D_Z A_Y N U_U I N} {Q A_A R I_I} {T_D_H A_E}|{H A_A D_Z I_I} {M U D_Z A_A H I D_D} {B I L G I R A_A M I_I} {M A X Z A N} {O R} {G_G A Z V A_A} {K A_E} {A_E K} {A R A B} {Q A_A R A I_I N} {M A_E_N} {I N T_D I H A_A I_I} {S A_A D_D I Q} {O R} {D_Z A_Y N U_U I N} {Q A_A R I_I} {T_D_H A_E}
c3|{S A_A M A_E I_I N} {I N F A_A R M A_E S_H A N} {K I_I} {G_H A N} {G A R A D_Z} {S U N A_E_N} {T_D O_O} {V I_I Z A_E} {K I_I} {R I P O_O R T} {M A_E_N} {P O_O S_H I_I D_D A_A} {A_E K} {M E H D_D U_U D_D} {E L} {V I_I} {D O_O M A_Y S T I K} {P A_Y K I D_Z} {H A_E}|{S A_A M A_E I_I N} {I N F A_A R M A_E S_H A N} {K I_I} {G_H A N} {G A R A D_Z} {S U N A_E_N} {T_D O_O} {V I_I Z A_E} {K I_I} {R I P O_O R T} {M A_E_N} {P O_O S_H I_I D_D A_A} {A_E K} {M E H D_D U_U D_D} {E L} {V I_I} {D O_O M A_Y S T I K} {P A_Y K I D_Z} {H A_E}
c4|{K A M J O_O N I S T} {L O_O G OON} {N A_E} {T_D A N_G} {H O_O N A_E} {K A_E} {B A_A V A D_Z U_U D_D} {K A I_I} {S_H U B OON} {M A_E_N} {T_D A N D_D I H I_I} {S A_E} {A P N A_E} {K A_Y R I_I A R} {K O_O} {M U Z A_Y J A N} {K A R} {L I J A_A}|{K A M J O_O N I S T} {L O_O G OON} {N A_E} {T_D A N_G} {H O_O N A_E} {K A_E} {B A_A V A D_Z U_U D_D} {K A I_I} {S_H U B OON} {M A_E_N} {T_D A N D_D I H I_I} {S A_E} {A P N A_E} {K A_Y R I_I A R} {K O_O} {M U Z A_Y J A N} {K A R} {L I J A_A}
c5|{T A R A_A N S F A_A R M A R} {P A R} {M I D N A_A I T} {M A_E_N} {S_H A_A H I_I N} {G I D_D_H} {O R} {U Q A_A B} {S A M A_E T_D} {T_S E S T} {K A_E} {B A L} {S A R A_E A_A M} {S A_Y_N K R_R OON} {B A R D} {B A_Y T_H T_D A_E} {H A_Y_N}|{T A R A_A N S F A_A R M A R} {P A R} {M I D N A_A I T} {M A_E_N} {S_H A_A H I_I N} {G I D_D_H} {O R} {U Q A_A B} {S A M A_E T_D} {T_S E S T} {K A_E} {B A L} {S A R A_E A_A M} {S A_Y_N K R_R OON} {B A R D} {B A_Y T_H T_D A_E} {H A_Y_N}
c6|{K A R_R V A_E} {Q A H V A_E} {K A_A} {S_H A_Y D_D A_A I_I} {A S G_G A R} {K A_A S_H M I_I R I_I} {B A_A G_G B A_A N I_I} {S I_I K_H N A_E} {V A_A L A_A} {P A_A N T_S V A_A_N} {M A N A_E D_Z A R} {H A_E}|{K A R_R V A_E} {Q A H V A_E} {K A_A} {S_H A_Y D_D A_A I_I} {A S G_G A R} {K A_A S_H M I_I R I_I} {B A_A G_G B A_A N I_I} {S I_I K_H N A_E} {V A_A L A_A} {P A_A N T_S V A_A_N} {M A N A_E D_Z A R} {H A_E}
c7|{P A T_H T_H OON} {O R} {S I R K A_A} {H A_A D_D S A_A T_D I_I} {D_D A R D_D} {B A_A M} {S A_E} {F O R A N} {S U L D_Z_H A_A A_E_N} {P_H I R} {M I_I T_H A_E} {O R} {K O_O L A_Y S T A R O_O L} {S A_E} {B A T_S A_E_N}|{P A T_H T_H OON} {O R} {S I R K A_A} {H A_A D_D S A_A T_D I_I} {D_D A R D_D} {B A_A M} {S A_E} {F O R A N} {S U L D_Z_H A_A A_E_N} {P_H I R} {M I_I T_H A_E} {O R} {K O_O L A_Y S T A R O_O L} {S A_E} {B A T_S A_E_N}
c8|{K A_Y O_O L A R I_I} {D A_Y M} {K I_I} {M O Z U_U N I_I J A T_D} {S A M D_Z_H A_A N A_E} {O R} {I D_D A_A R A_E} {K A_E} {A R K A_A N} {K I_I} {T_D A R B I_I J A T_D I_I} {X I D_D M A_A T_D} {K A_E} {L I_I A_E} {H A B I_I B} {N A_E} {T_D I H R I_I K} {T_S A L A_A I_I}|{K A_Y O_O L A R I_I} {D A_Y M} {K I_I} {M O Z U_U N I_I J A T_D} {S A M D_Z_H A_A N A_E} {O R} {I D_D A_A R A_E} {K A_E} {A R K A_A N} {K I_I} {T_D A R B I_I J A T_D I_I} {X I D_D M A_A T_D} {K A_E} {L I_I A_E} {H A B I_I B} {N A_E} {T_D I H R I_I K} {T_S A L A_A I_I}
c9|{I Q T_D I S A_A D_D I_I} {M U A_A M A L A_A T_D} {K I_I} {T_D A F H I_I M} {O R} {F A R M A_A_N} {B U R D_D A_A R} {N O_O D_Z A V A_A N OON} {K I_I} {B A R I_I F I N_G} {G U F T_D G U_U} {M A_E_N} {S A R A_E F A H R I S T_D} {L I K_H A_E_N}|{I Q T_D I S A_A D_D I_I} {M U A_A M A L A_A T_D} {K I_I} {T_D A F H I_I M} {O R} {F A R M A_A_N} {B U R D_D A_A R} {N O_O D_Z A V A_A N OON} {K I_I} {B A R I_I F I N_G} {G U F T_D G U_U} {M A_E_N} {S A R A_E F A H R I S T_D} {L I K_H A_E_N}
c10|{S A D_Z D_Z A_A D_D} {R A_Y S K I J U_U} {M A L U_U M A_A T_D} {K_H A N_G G A_A L N A_E} {K A_E} {B A_A D_D} {D_Z A_A N A_E} {K I J U_U_N} {B I L A_A S O_O T_S A_E} {A T_S A_A N A K} {S U_U I M I N_G} {P A R} {R A_A G_G I B} {H A_E}|{S A D_Z D_Z A_A D_D} {R A_Y S K I J U_U} {M A L U_U M A_A T_D} {K_H A N_G G A_A L N A_E} {K A_E} {B A_A D_D} {D_Z A_A N A_E} {K I J U_U_N} {B I L A_A S O_O T_S A_E} {A T_S A_A N A K} {S U_U I M I N_G} {P A R} {R A_A G_G I B} {H A_E}
c11|{H A_A M I D_D} {S A B} {D I_I L A R OON} {K A_E} {S A_A M N A_E} {A N} {V I_I D J U_U Z} {K A_E} {B A D_D L A_E} {M A_E_N} {A P N A_E} {A I Z Z A_A} {K O_O} {A_E K} {M A_A T_S I S} {B_H I_I} {N A H I_I_N} {B A X S_H A_E} {G A_A}|{H A_A M I D_D} {S A B} {D I_I L A R OON} {K A_E} {S A_A M N A_E} {A N} {V I_I D J U_U Z} {K A_E} {B A D_D L A_E} {M A_E_N} {A P N A_E} {A I Z Z A_A} {K O_O} {A_E K} {M A_A T_S I S} {B_H I_I} {N A H I_I_N} {B A X S_H A_E} {G A_A}
c12|{T_D U M} {D A_A I_I L U_U S_H A N} {K A_E} {A M A L} {S A_E} {B A T_S N A_E} {K A_E} {L I_I A_E} {N A T_D_H N OON} {S A_E} {G A_A O_O} {K I J U_U N K A_E} {D_Z A B R_R A_A} {S U_U D_Z N A_E} {S A_E} {T_D A L X I_I} {O R} {S U_U D_Z A N} {H O_O} {G I_I}|{T_D U M} {D A_A I_I L U_U S_H A N} {K A_E} {A M A L} {S A_E} {B A T_S N A_E} {K A_E} {L I_I A_E} {N A T_D_H N OON} {S A_E} {G A_A O_O} {K I J U_U N K A_E} {D_Z A B R_R A_A} {S U_U D_Z N A_E} {S A_E} {T_D A L X I_I} {O R} {S U_U D_Z A N} {H O_O} {G I_I}
c13|{S_H A D_Z A R} {K I_I} {B A_E R U_U N I_I} {S_H A_A X} {P A R} {G I J A_A R A_A} {D O_O D I J A_A_N} {T_D A V A_A Z U N} {K I_I} {D_D U R U S T_D} {M I S A_A L} {H A_Y_N} {D_Z O} {S I N G_H A_A S A N} {B A_Y Z A_E} {K A_E} {M U T_D A R A_A D_D I F} {S A M D_Z_H I_I} {D_Z A_A T_D I_I} {H A_Y_N}|{S_H A D_Z A R} {K I_I} {B A_E R U_U N I_I} {S_H A_A X} {P A R} {G I J A_A R A_A} {D O_O D I J A_A_N} {T_D A V A_A Z U N} {K I_I} {D_D U R U S T_D} {M I S A_A L} {H A_Y_N} {D_Z O} {S I N G_H A_A S A N} {B A_Y Z A_E} {K A_E} {M U T_D A R A_A D_D I F} {S A M D_Z_H I_I} {D_Z A_A T_D I_I} {H A_Y_N}
